,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
4,0.07692307692307691,5.0,5.0,2011-11-05 13,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,1.0,0.2773500981126146
5,0.07692307692307691,5.0,6.0,2011-11-05 13,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.2773500981126146
6,0.07692307692307691,5.0,7.0,2011-11-05 13,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.2773500981126146
7,0.07692307692307691,5.0,8.0,2011-11-05 13,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.2773500981126146
8,0.07692307692307691,5.0,9.0,2011-11-05 13,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.2773500981126146
9,0.07692307692307691,5.0,10.0,2011-11-05 13,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.2773500981126146
10,0.07692307692307691,5.0,11.0,2011-11-05 13,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.2773500981126146
11,0.07692307692307691,5.0,12.0,2011-11-05 13,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.2773500981126146
12,0.07692307692307691,5.0,13.0,2011-11-05 13,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.2773500981126146
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,5.0,1.0,2011-11-05 14,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.3630341146837114
1,0.07692307692307691,5.0,2.0,2011-11-05 14,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.3630341146837114
2,0.07692307692307691,5.0,3.0,2011-11-05 14,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,0.7045268611944369,0.3630341146837114
3,0.07692307692307691,5.0,4.0,2011-11-05 14,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.3630341146837114
4,0.07692307692307691,5.0,5.0,2011-11-05 14,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.29547313880556314,0.3630341146837114
5,0.07692307692307691,5.0,6.0,2011-11-05 14,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.3630341146837114
6,0.07692307692307691,5.0,7.0,2011-11-05 14,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.3630341146837114
7,0.07692307692307691,5.0,8.0,2011-11-05 14,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.3630341146837114
8,0.07692307692307691,5.0,9.0,2011-11-05 14,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.3630341146837114
9,0.07692307692307691,5.0,10.0,2011-11-05 14,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.3630341146837114
10,0.07692307692307691,5.0,11.0,2011-11-05 14,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.3630341146837114
11,0.07692307692307691,5.0,12.0,2011-11-05 14,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.3630341146837114
12,0.07692307692307691,5.0,13.0,2011-11-05 14,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.3630341146837114
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,5.0,1.0,2011-11-05 15,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.2773500981126146
1,0.07692307692307691,5.0,2.0,2011-11-05 15,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.2773500981126146
2,0.07692307692307691,5.0,3.0,2011-11-05 15,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,1.0,0.2773500981126146
3,0.07692307692307691,5.0,4.0,2011-11-05 15,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.2773500981126146
4,0.07692307692307691,5.0,5.0,2011-11-05 15,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.0,0.2773500981126146
5,0.07692307692307691,5.0,6.0,2011-11-05 15,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.2773500981126146
6,0.07692307692307691,5.0,7.0,2011-11-05 15,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.2773500981126146
7,0.07692307692307691,5.0,8.0,2011-11-05 15,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.2773500981126146
8,0.07692307692307691,5.0,9.0,2011-11-05 15,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.2773500981126146
9,0.07692307692307691,5.0,10.0,2011-11-05 15,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.2773500981126146
10,0.07692307692307691,5.0,11.0,2011-11-05 15,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.2773500981126146
11,0.07692307692307691,5.0,12.0,2011-11-05 15,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.2773500981126146
12,0.07692307692307691,5.0,13.0,2011-11-05 15,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.2773500981126146
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.9998800143982716,3.0,3.0,2011-11-08 10,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,1.0,0.9999999993999998
1,9.998800143982718e-06,3.0,1.0,2011-11-08 10,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.9999999993999998
2,9.998800143982718e-06,3.0,2.0,2011-11-08 10,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.9999999993999998
3,9.998800143982718e-06,3.0,4.0,2011-11-08 10,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.9999999993999998
4,9.998800143982718e-06,3.0,5.0,2011-11-08 10,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.0,0.9999999993999998
5,9.998800143982718e-06,3.0,6.0,2011-11-08 10,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.9999999993999998
6,9.998800143982718e-06,3.0,7.0,2011-11-08 10,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.9999999993999998
7,9.998800143982718e-06,3.0,8.0,2011-11-08 10,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.9999999993999998
8,9.998800143982718e-06,3.0,9.0,2011-11-08 10,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.9999999993999998
9,9.998800143982718e-06,3.0,10.0,2011-11-08 10,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.9999999993999998
10,9.998800143982718e-06,3.0,11.0,2011-11-08 10,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.9999999993999998
11,9.998800143982718e-06,3.0,12.0,2011-11-08 10,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.9999999993999998
12,9.998800143982718e-06,3.0,13.0,2011-11-08 10,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.9999999993999998
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.9998800143982716,3.0,3.0,2011-11-08 11,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,1.0,0.9999999993999998
1,9.998800143982718e-06,3.0,1.0,2011-11-08 11,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.9999999993999998
2,9.998800143982718e-06,3.0,2.0,2011-11-08 11,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.9999999993999998
3,9.998800143982718e-06,3.0,4.0,2011-11-08 11,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.9999999993999998
4,9.998800143982718e-06,3.0,5.0,2011-11-08 11,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.0,0.9999999993999998
5,9.998800143982718e-06,3.0,6.0,2011-11-08 11,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.9999999993999998
6,9.998800143982718e-06,3.0,7.0,2011-11-08 11,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.9999999993999998
7,9.998800143982718e-06,3.0,8.0,2011-11-08 11,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.9999999993999998
8,9.998800143982718e-06,3.0,9.0,2011-11-08 11,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.9999999993999998
9,9.998800143982718e-06,3.0,10.0,2011-11-08 11,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.9999999993999998
10,9.998800143982718e-06,3.0,11.0,2011-11-08 11,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.9999999993999998
11,9.998800143982718e-06,3.0,12.0,2011-11-08 11,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.9999999993999998
12,9.998800143982718e-06,3.0,13.0,2011-11-08 11,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.9999999993999998
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,3.0,1.0,2011-11-08 12,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0,
1,0.07692307692307691,3.0,2.0,2011-11-08 12,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0,
2,0.07692307692307691,3.0,3.0,2011-11-08 12,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,0,
3,0.07692307692307691,3.0,4.0,2011-11-08 12,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0,
4,0.07692307692307691,3.0,5.0,2011-11-08 12,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0,
5,0.07692307692307691,3.0,6.0,2011-11-08 12,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0,
6,0.07692307692307691,3.0,7.0,2011-11-08 12,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0,
7,0.07692307692307691,3.0,8.0,2011-11-08 12,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0,
8,0.07692307692307691,3.0,9.0,2011-11-08 12,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0,
9,0.07692307692307691,3.0,10.0,2011-11-08 12,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0,
10,0.07692307692307691,3.0,11.0,2011-11-08 12,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0,
11,0.07692307692307691,3.0,12.0,2011-11-08 12,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0,
12,0.07692307692307691,3.0,13.0,2011-11-08 12,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0,
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,3.0,1.0,2011-11-09 12,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.2773500981126146
1,0.07692307692307691,3.0,2.0,2011-11-09 12,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.2773500981126146
2,0.07692307692307691,3.0,3.0,2011-11-09 12,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,1.0,0.2773500981126146
3,0.07692307692307691,3.0,4.0,2011-11-09 12,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.2773500981126146
4,0.07692307692307691,3.0,5.0,2011-11-09 12,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.0,0.2773500981126146
5,0.07692307692307691,3.0,6.0,2011-11-09 12,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.2773500981126146
6,0.07692307692307691,3.0,7.0,2011-11-09 12,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.2773500981126146
7,0.07692307692307691,3.0,8.0,2011-11-09 12,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.2773500981126146
8,0.07692307692307691,3.0,9.0,2011-11-09 12,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.2773500981126146
9,0.07692307692307691,3.0,10.0,2011-11-09 12,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.2773500981126146
10,0.07692307692307691,3.0,11.0,2011-11-09 12,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.2773500981126146
11,0.07692307692307691,3.0,12.0,2011-11-09 12,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.2773500981126146
12,0.07692307692307691,3.0,13.0,2011-11-09 12,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.2773500981126146
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,3.0,1.0,2011-11-09 13,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.2773500981126146
1,0.07692307692307691,3.0,2.0,2011-11-09 13,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.2773500981126146
2,0.07692307692307691,3.0,3.0,2011-11-09 13,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,1.0,0.2773500981126146
3,0.07692307692307691,3.0,4.0,2011-11-09 13,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.2773500981126146
4,0.07692307692307691,3.0,5.0,2011-11-09 13,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.0,0.2773500981126146
5,0.07692307692307691,3.0,6.0,2011-11-09 13,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.2773500981126146
6,0.07692307692307691,3.0,7.0,2011-11-09 13,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.2773500981126146
7,0.07692307692307691,3.0,8.0,2011-11-09 13,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.2773500981126146
8,0.07692307692307691,3.0,9.0,2011-11-09 13,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.2773500981126146
9,0.07692307692307691,3.0,10.0,2011-11-09 13,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.2773500981126146
10,0.07692307692307691,3.0,11.0,2011-11-09 13,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.2773500981126146
11,0.07692307692307691,3.0,12.0,2011-11-09 13,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.2773500981126146
12,0.07692307692307691,3.0,13.0,2011-11-09 13,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.2773500981126146
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,3.0,1.0,2011-11-09 14,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.2773500981126146
1,0.07692307692307691,3.0,2.0,2011-11-09 14,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.2773500981126146
2,0.07692307692307691,3.0,3.0,2011-11-09 14,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,1.0,0.2773500981126146
3,0.07692307692307691,3.0,4.0,2011-11-09 14,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.2773500981126146
4,0.07692307692307691,3.0,5.0,2011-11-09 14,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.0,0.2773500981126146
5,0.07692307692307691,3.0,6.0,2011-11-09 14,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0.0,0.2773500981126146
6,0.07692307692307691,3.0,7.0,2011-11-09 14,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.2773500981126146
7,0.07692307692307691,3.0,8.0,2011-11-09 14,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.2773500981126146
8,0.07692307692307691,3.0,9.0,2011-11-09 14,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.2773500981126146
9,0.07692307692307691,3.0,10.0,2011-11-09 14,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.2773500981126146
10,0.07692307692307691,3.0,11.0,2011-11-09 14,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.2773500981126146
11,0.07692307692307691,3.0,12.0,2011-11-09 14,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.2773500981126146
12,0.07692307692307691,3.0,13.0,2011-11-09 14,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.2773500981126146
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,3.0,1.0,2011-11-09 15,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0,
1,0.07692307692307691,3.0,2.0,2011-11-09 15,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0,
2,0.07692307692307691,3.0,3.0,2011-11-09 15,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,0,
3,0.07692307692307691,3.0,4.0,2011-11-09 15,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0,
4,0.07692307692307691,3.0,5.0,2011-11-09 15,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0,
5,0.07692307692307691,3.0,6.0,2011-11-09 15,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,0,
6,0.07692307692307691,3.0,7.0,2011-11-09 15,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0,
7,0.07692307692307691,3.0,8.0,2011-11-09 15,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0,
8,0.07692307692307691,3.0,9.0,2011-11-09 15,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0,
9,0.07692307692307691,3.0,10.0,2011-11-09 15,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0,
10,0.07692307692307691,3.0,11.0,2011-11-09 15,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0,
11,0.07692307692307691,3.0,12.0,2011-11-09 15,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0,
12,0.07692307692307691,3.0,13.0,2011-11-09 15,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0,
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,6.0,1.0,2011-11-09 4,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.2773500981126146
1,0.07692307692307691,6.0,2.0,2011-11-09 4,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.2773500981126146
2,0.07692307692307691,6.0,3.0,2011-11-09 4,"微软亚洲研究院, 善缘街, 中关村, 海淀路社区, 海淀区, 100080, 中国",39.97868556638177,116.30412950712251,0.0,0.2773500981126146
3,0.07692307692307691,6.0,4.0,2011-11-09 4,"知春路, 新科祥园, 海淀路社区, 海淀区, 100098, 中国",39.975788596938784,116.3326342772109,0.0,0.2773500981126146
4,0.07692307692307691,6.0,5.0,2011-11-09 4,"知春路, 中关村, 海淀路社区, 海淀区, 100098, 中国",39.975868787878774,116.32009045454546,0.0,0.2773500981126146
5,0.07692307692307691,6.0,6.0,2011-11-09 4,"五道口, 海淀路社区, 海淀区, 100098, 中国",39.97842856944445,116.3321149953704,1.0,0.2773500981126146
6,0.07692307692307691,6.0,7.0,2011-11-09 4,"海淀南路, 中关村, 稻香园南社区, 海淀区, 100872, 中国",39.974452777777785,116.30217250000004,0.0,0.2773500981126146
7,0.07692307692307691,6.0,8.0,2011-11-09 4,"小吊梨汤, 66, 中关村南一条, 新科祥园, 海淀路社区, 海淀区, 100190, 中国",39.9806916666667,116.322335,0.0,0.2773500981126146
8,0.07692307692307691,6.0,9.0,2011-11-09 4,"学院国际大厦, 1号, 知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.976027916666666,116.34586999999999,0.0,0.2773500981126146
9,0.07692307692307691,6.0,10.0,2011-11-09 4,"知春路, 五道口, 海淀路社区, 海淀区, 100081, 中国",39.97510940662393,116.3385428036325,0.0,0.2773500981126146
10,0.07692307692307691,6.0,11.0,2011-11-09 4,"Abc, 建国门外大街, 深沟, 朝阳区 / Chaoyang, 北京市, 100732, 中国",39.9068583333333,116.43295166666701,0.0,0.2773500981126146
11,0.07692307692307691,6.0,12.0,2011-11-09 4,"五道口嘉园2号楼, 3号院2号楼, 展春园西路, 五道口, 后八家, 海淀区, 100083, 中国",39.98859277777779,116.33297694444452,0.0,0.2773500981126146
12,0.07692307692307691,6.0,13.0,2011-11-09 4,"Electronics (components) market, 知春路, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.974814267676784,116.31201885101014,0.0,0.2773500981126146
,PredProbability,StateId,PredState,DateHour,Address,Latitude,Longitude,ActProbability,Similarity
0,0.07692307692307691,6.0,1.0,2011-11-09 5,"大钟寺派出所户籍大厅, 北三环西路, 中关村, 海淀路社区, 海淀区, 100081, 中国",39.9644383333333,116.32499083333326,0.0,0.2773500981126146
1,0.07692307692307691,6.0,2.0,2011-11-09 5,"中关村南大街, 中关村, 海淀路社区, 海淀区, 100872, 中国",39.96513738095239,116.31608,0.0,0.2773500981126146
